"Nom","Adresse 1","Adresse 2","Code postal","Ville","T้l้phone 1","T้l้phone 2","Fax","NAF","SIRET","Effectif","Email","Responsable","Activit้"
"MOREIRA LINDOLFO","","RUE POTENCE","89110","ST MAURICE LE VIEIL","0676946054","","","4391A","44247344300020","0","","DE PAIVA MOREIRA LINDOLFO","TRAVAUX DE CHARPENTE"
"PAPA ROMARIC","","1 RUE PASTEUR","89140","CUY","0386666031","","","4391A","52241428300039","0","","PAPA ROMARIC","TRAVAUX DE CHARPENTE"
"PEUZIN RAYMOND","","23 ROUTE MONTALLERY","89530","CHITRY","0608073260","","","4391A","42711014300034","0","","PEUZIN RAYMOND","TRAVAUX DE CHARPENTE"
"POIRIER PASCAL","","3 Bis ROUTE TROYES","89190","VILLENEUVE L'ARCHEVEQUE","0648201336","","","4391A","39956558900013","1 เ 2","","POIRIER PASCAL","TRAVAUX DE CHARPENTE"
"PROPHILBOIS EURL","","BONNEAUX","89330","ST LOUP D'ORDON","0677177165","","","4391A","51243398800015","1 เ 2","prophilboischarpente@gmail.com","ROTT PHILIPPE","TRAVAUX DE CHARPENTE"
"ROBERT JEAN LUC","POIL CHEVRE","ROUTE GUICHARDS","89630","QUARRE LES TOMBES","0386181496","","","4391A","44118860400025","3 เ 5","","ROBERT JEAN-LUC","TRAVAUX DE CHARPENTE"
"SAATCI SALIH","","10 PLACE PERDRIX","89300","JOIGNY","0975873499","","","4391A","80757327400022","0","","SAATCI SALIH","TRAVAUX DE CHARPENTE"
"SARL PRETRE","","9 RUE PETITE FONTAINE","89320","ARCES DILO","0650437745","","","4391A","84409184300012","Inconnu","ap.charpente.sarl@gmail.com","PRETRE ANTOINE","TRAVAUX DE CHARPENTE"
"VAUCOULEUR","","CHEMIN RURAL DES PLACEAUX","89230","ROUVRAY","0386982099","","0386477563","4391A","48298325100018","20 เ 49","accueil@entreprisevaucouleur.fr","VAUCOULEUR DAVID","TRAVAUX DE CHARPENTE"
"AM ERVICES","","80 RUE GEN LECLERC","90600","GRANDVILLARS","0972821224","","","4391A","82019279700018","Inconnu","","MURATOVIC ADIS","TRAVAUX DE CHARPENTE"
"CASOLI JEAN FRANCOIS","","9 RUE BELFORT","90400","SEVENANS","0384460014","","0956978470","4391A","81129971800015","0","","CASOLI JEAN FRANCOIS","TRAVAUX DE CHARPENTE"
"CLAUDE PREVOT SARL","","19 RUE EGLISE","90200","LEPUIX","0661858466","","","4391A","50415604300011","Inconnu","","CLAUDE PREVOT SARL","TRAVAUX DE CHARPENTE"
"PY ADRIEN","","28 RUE FALANDRIERS","90200","AUXELLES HAUT","0670639697","","","4391A","81777420100021","0","","PY ADRIEN","TRAVAUX DE CHARPENTE"
"ALG RENOV","","9 RUE ROSSAYS","91360","EPINAY SUR ORGE","0951802889","","0956802889","4391A","85167604900014","Inconnu","","ALEXE GEORGEL","TRAVAUX DE CHARPENTE"
"BARCQUE CHARPENTES","","35 RUE FONTAINE AUGERE","91380","CHILLY MAZARIN","0169349794","","0164488789","4391A","40125781100034","10 เ 19","","BARCQUE FABIEN","TRAVAUX DE CHARPENTE"
"BATY'R","","22 RUE GARDES","91370","VERRIERES LE BUISSON","0788152835","","","4391A","81296908700020","0","contact@batyr-construction.com","ROLAND PIERRE","TRAVAUX DE CHARPENTE"
"BEPOX","","4 RUE PELLETIER","91320","WISSOUS","0164474920","0164472495","","4391A","37762748400050","20 เ 49","","ILLOUZ ANNE","TRAVAUX DE CHARPENTE"
"BMV CHARPENTE","BAT A","8 CHEMIN HAUTES FLEURANCES","91310","LONGPONT SUR ORGE","0169639501","","","4391A","44090610500026","1 เ 2","","MEHRAZ MOHAND","TRAVAUX DE CHARPENTE"
"BONAFOS DAMIEN","","37 AVENUE LUCIEN MALAVIOLLE","91210","DRAVEIL","0659694255","","","4391A","52071956800013","Inconnu","","BONAFOS DAMIEN","TRAVAUX DE CHARPENTE"
"CCM CHARPENTE COUVERTURE MACONNERIE","","1 RUE MARGUERITES","91380","CHILLY MAZARIN","0164548178","","","4391A","44009742600017","1 เ 2","","VOILLOT EMMANUEL","TRAVAUX DE CHARPENTE"
"CHAMPEAU SAS","","CHEMIN VIGNES","91660","MEREVILLE","0164951580","","0164951570","1623Z","75550012100065","10 เ 19","info@champeau.fr","","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"CHARPENTIERS DE FRANCE AUX","","AVENUE PLESSE","91140","VILLEBON SUR YVETTE","0169343260","","0169347039","4391A","30713142500018","20 เ 49","","DELAUNAY BERTRAND","TRAVAUX DE CHARPENTE"
"DEMESTRE FRANCOIS","","25 CHEMIN PRES","91480","QUINCY SOUS SENART","0781795105","","","4391A","49155428300037","Inconnu","","DEMESTRE FRANCOIS","TRAVAUX DE CHARPENTE"
"ECSD","","114 Bis RUE MOULIN NEUF","91800","BOUSSY ST ANTOINE","0782802829","","","4391A","83255196400014","0","","GLAUDE STANLEY","TRAVAUX DE CHARPENTE"
"ERIC LAILLE  FRANCK BINANT SAS","","86 BOULEVARD ARISTIDE BRIAND","91600","SAVIGNY SUR ORGE","0169247149","","0169244821","4391A","43224231100020","10 เ 19","","LAILLE ERIC","TRAVAUX DE CHARPENTE"
"F CHEVALLIER","","24 Bis RUE VIGNE DE LOZERE","91120","PALAISEAU","0684117580","","","4391A","53383687000022","0","chevalllier@hotmail.com","CHEVALLIER FRANCOIS","TRAVAUX DE CHARPENTE"
"GASPAR FRERES","","2 RUE BOIS DE LA REMISE","91480","VARENNES JARCY","0169003696","","","4391A","33349091000036","10 เ 19","","GASPAR ALVARO MANUEL","TRAVAUX DE CHARPENTE"
"MATWOOD","","6 ROUTE MONTFLIX","91580","VILLECONIN","0169783419","","","4391A","81958628000011","0","","COLINET MATTHIEU","TRAVAUX DE CHARPENTE"
"SAINT GRAAL CHARPENTE","","6 RUE HENRI SELLIER","91700","STE GENEVIEVE DES BOIS","0618567476","","","4391A","90209150300018","Inconnu","","LUYUVULA VOVA NGANGA MANUEL","TRAVAUX DE CHARPENTE"
"SUD CHARPENTE","","16 RUE PAPETERIE","91610","BALLANCOURT SUR ESSONNE","0164935768","","","4391A","41510123700022","0","","LE COQ ROLANDE","TRAVAUX DE CHARPENTE"
"TEROUINARD FLORENT","","LE FOURCHERET","91720","MAISSE","0672819247","","","4391A","50008977600024","1 เ 2","","TEROUINARD FLORENT","TRAVAUX DE CHARPENTE"
"TMC 91","","21 ALLEE CHATEAU GAILLARD","91820","BOUTIGNY SUR ESSONNE","0688143987","","","4391A","50406745500015","1 เ 2","","POSPIESZNY JEROME","TRAVAUX DE CHARPENTE"
"TMC FRANCE","","85 Bis ROUTE GRIGNY","91130","RIS ORANGIS","0160475702","","","4391A","82442757900019","1 เ 2","","KATARCI AHMET","TRAVAUX DE CHARPENTE"
"WCB","","42 A RUE CHENET","91490","MILLY LA FORET","0967196291","","","4391A","53155996100036","3 เ 5","","BONNEAU DIDIER","TRAVAUX DE CHARPENTE"
"DIM BRUNO","","1 Bis RUE PIERRE ET MARIE CURIE","92140","CLAMART","0981642348","","","4391A","48914246300061","Inconnu","","DIM BRUNO","TRAVAUX DE CHARPENTE"
"HUBERT MARTINE","","26 RUE FORT","92140","CLAMART","0146480497","","","4391A","31411762300012","Inconnu","","HUBERT LUCIEN","TRAVAUX DE CHARPENTE"
"TOITS & MOI CHARPENTIER COUVREUR","","13 BOULEVARD REPUBLIQUE","92250","LA GARENNE COLOMBES","0662474656","","","4391A","49226881800068","Inconnu","roland.khoury@wanadoo.fr","KHOURY ROLAND","TRAVAUX DE CHARPENTE"
"BATISSEUR BOIS CHARPENTE","","66 Bis RUE BERTHAUDS","93110","ROSNY SOUS BOIS","0148542920","","","4391A","84040151700015","Inconnu","","BOUILLY JEAN-LOUIS","TRAVAUX DE CHARPENTE"
"CHARBOIS CONSTRUCTION","","1 RUE EMILE ZOLA","93120","LA COURNEUVE","0646587642","","","4391A","84515124000015","Inconnu","","TAMAS MARTIN","TRAVAUX DE CHARPENTE"
"DE SOUSA EMILIE","","60 RUE ARTOIS","93290","TREMBLAY EN FRANCE","0149631615","","0959791851","4391A","89499023300013","Inconnu","","DE SOUSA MICHAEL","TRAVAUX DE CHARPENTE"
"DENIZ  L'IDEAL CONSTRUCTION","","RUE GASPARD MONGE","93600","AULNAY SOUS BOIS","0620293458","","","1623Z","83246109900034","Inconnu","","DENIZ BAHRI","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"DUARTE DM","","5 RUE ROME","93110","ROSNY SOUS BOIS","0614754373","","","4391A","52438231400028","0","","DUARTE","TRAVAUX DE CHARPENTE"
"GCC","","11 RUE SOURCE","93470","COUBRON","0143518231","","","4391A","50868673000021","10 เ 19","","DOS SANTOS GONCALVES VITOR","TRAVAUX DE CHARPENTE"
"GUESPIN AMAURY","","4 Bis AVENUE SENNEVILLE","93600","AULNAY SOUS BOIS","0980766907","","","4391A","80923338000025","0","","GUESPIN AMAURY","TRAVAUX DE CHARPENTE"
"HERVOUET","","24 Bis RUE ROUGET DE LISLE","93500","PANTIN","0144849244","","","4391A","39472273000055","10 เ 19","d.monnier@hervouet.com","HERVOUET PASCAL","TRAVAUX DE CHARPENTE"
"LE CHARPENTIER JACQUEMIN","","4 Bis RUE JULES MICHELET","93800","EPINAY SUR SEINE","0664860060","","","4391A","52969718700035","Inconnu","","JACQUEMIN LOIC","TRAVAUX DE CHARPENTE"
"LTZ","","38 RUE GABRIEL PERI","93200","ST DENIS","0662063403","","","4391A","83322865300014","Inconnu","","TRON FRANCOIS-XAVIER","TRAVAUX DE CHARPENTE"
"MARGUERITE CONSTRUCTION ECOLOGIQUE","","35 RUE PIERRE BROSSOLETTE","93130","NOISY LE SEC","0609020897","","","4391A","53518424600028","3 เ 5","","RICORD PASCAL","TRAVAUX DE CHARPENTE"
"MCC","","13 RUE VENDEE","93290","TREMBLAY EN FRANCE","0149639593","","","4391A","48807622500017","1 เ 2","","LAMEIRA PIRES ISABEL","TRAVAUX DE CHARPENTE"
"NUNES JORGE","","29 AVENUE FIRMIN DIDOT","93190","LIVRY GARGAN","0660474914","","","4391A","43347255200028","1 เ 2","","NUNES JORGE","TRAVAUX DE CHARPENTE"
"PRO ZING","","51 RUE BERGERAC","93150","LE BLANC MESNIL","0187222247","","","4391A","84108025200015","Inconnu","","POP GAVRIL-VICTOR","TRAVAUX DE CHARPENTE"
"ROMEIRO DANIEL","","5 ALLEE BEAUMARCHAIS","93320","LES PAVILLONS SOUS BOIS","0148029637","","","4391A","31482187700052","1 เ 2","","ROMEIRO DANIEL","TRAVAUX DE CHARPENTE"
"SOLID","","16 ALLEE MARGUERITES","93390","CLICHY SOUS BOIS","0678289690","","","1623Z","83197050400021","0","","ROSSYE MATTHIEU","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"TNY WELS","","BOULEVARD VAILLANT COUTURIER","93700","DRANCY","0630133403","","","4391A","44535182800022","Inconnu","","WELS TONY","TRAVAUX DE CHARPENTE"
"URBANEJA KEVIN","","39 RUE ETIENNE MARCEL","93500","PANTIN","0638298520","","","4391A","82281212900028","Inconnu","","URBANEJA KEVIN","TRAVAUX DE CHARPENTE"
"AMELIORATION THERMIQUE DE L'HABITAT","","66 AVENUE PIERRE SEMARD","94200","IVRY SUR SEINE","0952065790","","","4391A","79219606500017","0","","BLIKMAN BEATRICE","TRAVAUX DE CHARPENTE"
"CHARPENTES MEHA","","15 RUE GABRIEL PERI","94460","VALENTON","0143895788","","0143895406","4391A","32139450400054","20 เ 49","","MEHA SEBASTIEN","TRAVAUX DE CHARPENTE"
"DRUG BAT","","186 BOULEVARD STALINGRAD","94500","CHAMPIGNY SUR MARNE","0608157682","","","4391A","45242473200025","Inconnu","","DRUG BAT","TRAVAUX DE CHARPENTE"
"LDR CONFORT","","46 Bis AVENUE MIDI","94100","ST MAUR DES FOSSES","0664363093","","","4391A","49945225800019","3 เ 5","","FONSECA LOPES HELDER","TRAVAUX DE CHARPENTE"
"LOUABED SEBASTIEN","","2 ALLEE VERGERS","94170","LE PERREUX SUR MARNE","0695974187","","","4391A","52848840600026","Inconnu","","LOUABED SEBASTIEN","TRAVAUX DE CHARPENTE"
"M G BATIMENT","","67 AVENUE GAMBETTA","94100","ST MAUR DES FOSSES","0143979954","","","4391A","53089387400012","1 เ 2","","MATTMULLER GERARD","TRAVAUX DE CHARPENTE"
"MDV","","48 RUE GROUPE MANOUCHIAN","94140","ALFORTVILLE","0663626205","","","4391A","83290205000018","Inconnu","","MARITA VASILE-FLORIN","TRAVAUX DE CHARPENTE"
"NMB BAT","","2 RUE PROF PAUL MILLIEZ","94500","CHAMPIGNY SUR MARNE","0177376969","","","4391A","83352277400029","Inconnu","","OBRADOVIC NIKOLA","TRAVAUX DE CHARPENTE"
"RENOFORS FRANCE","","183 BOULEVARD JEAN MERMOZ","94550","CHEVILLY LARUE","0149732007","","","4391A","31308724900055","50 เ 99","","","TRAVAUX DE CHARPENTE"
"TOITS POUR TOUJOURS CHARPENTIER COUVREUR SAS","","30 RUE LA VARENNE","94100","ST MAUR DES FOSSES","0143976029","","","4391A","82465917100014","Inconnu","","STINCA SERGHEI","TRAVAUX DE CHARPENTE"
"TOITURE A9","","11 AVENUE DIVISION LECLERC","94230","CACHAN","0661486687","","","4391A","87868745800017","Inconnu","","VIOLET STEEVEN","TRAVAUX DE CHARPENTE"
"URSAN DUMITRU","","85 RUE LOUISE CHENU","94450","LIMEIL BREVANNES","0951860752","","","4391A","81956437800027","0","","URSAN DUMITRU","TRAVAUX DE CHARPENTE"
"ANCIENS ETS CRESSON PERE ET FILS","","6 LE CLOS VOIRIN","95830","CORMEILLES EN VEXIN","0130375561","","","4391A","55820021800037","3 เ 5","","CRESSON DENIS","TRAVAUX DE CHARPENTE"
"BF  TRADIBOIS","","17 VILLA RONSARD","95550","BESSANCOURT","0612836138","","","4391A","81165717000015","1 เ 2","","BARBERI FRANCESCO","TRAVAUX DE CHARPENTE"
"BOIS ET TRADITION","","SENTE BOBINES","95300","PONTOISE","0130386926","","","4391A","34910994200038","Inconnu","","FONTES JOSE","TRAVAUX DE CHARPENTE"
"CHARPENTE SAINT ANTOINE","","66 CHEMIN CHEMIN DE LA CHAPELLE","95300","ENNERY","0130384070","","","1623Z","52071628300012","3 เ 5","","COGUIC VINCENT","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"DACRUZ PEREIRA PAULO","","129 AVENUE MAURICE UTRILLO","95360","MONTMAGNY","0139841172","","","4391A","41046998500031","6 เ 9","","DA CRUZ PEREIRA PAULO","TRAVAUX DE CHARPENTE"
"DCM DE MIRANDA CHARPENTE MODERNE","","13 ROUTE AUVERS","95300","PONTOISE","0607611272","","","4391A","53130471500018","1 เ 2","","CARDOSO MIRANDA ALFREDO","TRAVAUX DE CHARPENTE"
"DE MAZ","","5 RUE BOUCHARD","95160","MONTMORENCY","0134121125","","","4391A","84433013400017","Inconnu","","MAZZETTI DENIS","TRAVAUX DE CHARPENTE"
"ENTREPRISE DRIOLLET","","10 RUE PIERRE EMMANUEL","95330","DOMONT","0139913939","","","4391A","33014987300029","10 เ 19","","DELETTRE MICH EL","TRAVAUX DE CHARPENTE"
"EXPERT CHARPENTE","","20 RUE AUGUSTE ET GUSTAVE PERRET","95360","MONTMAGNY","0763493434","","","4391A","52747888700013","10 เ 19","","DENIZ BAHRI","TRAVAUX DE CHARPENTE"
"KAYA CHARPENTE","","7 AVENUE PIERRE SEMARD","95400","ARNOUVILLE","0668622130","","","4391A","84509664300018","Inconnu","","KAYA ERDAL","TRAVAUX DE CHARPENTE"
"LARIO","","5 RUE DESCARTES","95330","DOMONT","0134381537","","","4391A","38515434900026","6 เ 9","","SZYDLO CHRISOTPHE","TRAVAUX DE CHARPENTE"
"LE COUVREUR JACQUEMIN","","70 RUE COURONNE D'ORGEMONT","95100","ARGENTEUIL","0684425670","","","4391A","79248837100024","3 เ 5","","JACQUEMIN YANN","TRAVAUX DE CHARPENTE"
"LEBARQUE PATRICE","","1 IMPASSE JARDINS","95510","AMENUCOURT","0134797278","","","4391A","53144739900019","0","","LEBARQUE REMI","TRAVAUX DE CHARPENTE"
"LES TOITURES DE L'AUBETTE","","4 PLACE ST LO","95450","THEMERICOURT","0689111771","","","4391A","82885422400015","Inconnu","","DAY ROBERT","TRAVAUX DE CHARPENTE"
"SARL CPDESAMIANTAGE","","4 RUE SALLE DES FETES","72220","TELOCHE","0243291505","0652465179","","4391A","80778079600015","1 เ 2","contact@cpdesamiantage.fr","DUCHESNE PATRICK","TRAVAUX DE CHARPENTE"
"SERVICE 74","","104 IMPASSE PLATE","74310","SERVOZ","0771627878","","","4391A","89515050600015","Inconnu","contact.biniconstructions@gmail.com","GROSSET-JANIN OLIVIER","TRAVAUX DE CHARPENTE"
"BONNET BATIMENT","","88 CHEMIN GARENNE","01960","PERONNAS","0474218416","","","4391A","39200938700029","Inconnu","","CHANEL THIBAUT","TRAVAUX DE CHARPENTE"
"D AGOSTE TONY","","15 RUE ECOLE","01150","LEYMENT","0474391817","","","4391A","79492617000018","0","","D AGOSTE TONY","TRAVAUX DE CHARPENTE"
"MOREL DAVID","","36 IMPASSE PAVILLON BERTRAND","01290","LAIZ","0611411232","","","4391A","82993722600019","0","","MOREL DAVID","TRAVAUX DE CHARPENTE"
"DEVILLE LUDOVIC","","18 RUE GEANT","02420","GOUY","0323665875","","","4391A","79492250000010","0","","DEVILLE LUDOVIC","TRAVAUX DE CHARPENTE"
"HONNORAT PHILIPPE","","LES BOURRES","04380","THOARD","0492348041","","","4391A","40926150000022","Inconnu","","HONNORAT PHILIPPE","TRAVAUX DE CHARPENTE"
"OZTURK TAHIR","","6 RUE LAC DE MONTBEL","11000","CARCASSONNE","0621803171","","","4391A","38895002400025","Inconnu","","OZTURK TAHIR","TRAVAUX DE CHARPENTE"
"BRAULT DOMINIQUE","","22 AVENUE BICENTENAIRE","13960","SAUSSET LES PINS","0442454776","","","4391A","49024600600012","Inconnu","","BRAULT DOMINIQUE","TRAVAUX DE CHARPENTE"
"GARDANNE TRAVAUX INDUSTRIELS","","58 ROUTE DEPARTEME QUA LES MOLX RTE BIVER","13120","GARDANNE","0442511962","","","4391A","81087680500013","6 เ 9","","JASELME ISABELLE","TRAVAUX DE CHARPENTE"
"REGIS CHRISTOPHE","","7 AVENUE PARC","13640","LA ROQUE D'ANTHERON","0752433338","","","4391A","79831745900013","Inconnu","","REGS CHRISTOPHE","TRAVAUX DE CHARPENTE"
"FAREY MULTI SERVICE","MOINGS","67 Bis ROUTE ST MARTIN","17500","REAUX SUR TREFLE","0984262678","","","4391A","82807141500016","0","","FAREY YOHAN","TRAVAUX DE CHARPENTE"
"DALIBARD","","3 RUE PHILIPPE LAMIRAULT","28480","THIRON GARDAIS","0237495533","","","4391A","83970988800029","6 เ 9","","MAHE BERANGERE","TRAVAUX DE CHARPENTE"
"LE CORRE BERNARD","","4 TY PRI ROSNABAT","29170","FOUESNANT","0298565434","","","4391A","85115207400015","Inconnu","bernard.le-corre0141@orange.fr","LE CORRE FABIEN","TRAVAUX DE CHARPENTE"
"BINOTTO EDOOUARD","","VILLAGE DEVANT LA SAVE","31230","ANAN","0618600990","","","4391A","53403059800013","1 เ 2","","BINOTTO EDOUARD","TRAVAUX DE CHARPENTE"
"DENARD BATIMENT","","AVENUE ST ANDRE","31440","BURGALAYS","0614472941","","","4391A","78883301000010","6 เ 9","","DENARD ANDRE","TRAVAUX DE CHARPENTE"
"LATGER FABIEN","","28 CHEMIN LAPEYRIERE","31240","ST JEAN","0659541225","","","4391A","75401671500015","3 เ 5","","LATGER FABIEN","TRAVAUX DE CHARPENTE"
"MCR ENTREPRISE MIDI CONST ET RENOVATION","","28 RUE SARTHE","31100","TOULOUSE","0651881130","","","4391A","45161834200021","Inconnu","","M HAMDI TAHAR","TRAVAUX DE CHARPENTE"
"RAMPIN CHRISTIAN","","LE VILLAGE","31290","FOLCARDE","0534661623","","","4391A","43398330100014","1 เ 2","","RAMPIN CHRISTIAN","TRAVAUX DE CHARPENTE"
"MTC","","QUARTIER LASSERRE LIEU DIT LASSISE","32400","VIELLA","0682252828","","","4391A","43922985700040","1 เ 2","e.bachellier@orange.fr","BACHELLIER EDOUARD","TRAVAUX DE CHARPENTE"
"MULTISERVICES HABITAT","","7 RUE DOCT MEIGNIE","33340","LESPARRE MEDOC","0677296565","","","4391A","45303393800045","Inconnu","","ELOY LAURENT","TRAVAUX DE CHARPENTE"
"SPADETTO ET FILS","","5 Bis CHEMIN CALONJAT","33430","BERNOS BEAULAC","0556254172","","","4391A","41071602100010","6 เ 9","","SPADETTO REMI","TRAVAUX DE CHARPENTE"
"PLAFONDS CONSTRUCTION LANGUEDOC","ZA LA SOURCE","RUE LIBRON","34450","VIAS","0467945660","","0467945661","4391A","4215577110001","1 เ 2","","","TRAVAUX DE CHARPENTE"
"TOMMASINI FRERES ENTREPRISE","","15 RUE LEON MONNET","38550","SABLONS","0474842190","","0474843578","1623Z","33722029700028","10 เ 19","tomasini.freres@wanadoo.fr","TOMMASINI LAURENCE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"EURL BL CONSTRUCTION","","LIEU DIT BAUDONS","47320","CLAIRAC","0619444240","","","4391A","79183824600019","1 เ 2","","BOUDET ALAIN","TRAVAUX DE CHARPENTE"
"VERGNE CONSTRUCTION","","ZI FAVARD","47800","MIRAMONT DE GUYENNE","0553640740","0681549672","","4391A","51038191600012","6 เ 9","","VERGNE BENOIT","TRAVAUX DE CHARPENTE"
"AMBIOSE","","11 RUE VALLEE","56150","BAUD","0672753054","","","4391A","79142942600020","Inconnu","","LE FUR BRIAN","TRAVAUX DE CHARPENTE"
"JEAN PIERRE LE GAL SARL","","GARE BAUD","56150","BAUD","0297511127","","0297390223","4391A","44090665900022","3 เ 5","","LE GAL JEAN-PIERRE","TRAVAUX DE CHARPENTE"
"DA COSTA HABITAT","","29 RUE PAUL LANGEVIN","59223","RONCQ","0668612301","","","4391A","81051055200013","Inconnu","","DA COSTA DAVIDE","TRAVAUX DE CHARPENTE"
"ADTP","","166 BOULEVARD EUROPE","64230","LESCAR","0559137610","","","4391A","80316968900046","Inconnu","","IRIGOYEN DANIEL","TRAVAUX DE CHARPENTE"
"CARRIQUE ET FILS","","QUARTIER MENDY","64130","IDAUX MENDY","0559280203","0684537004","","4391A","38060603800012","6 เ 9","","CARRIQUE DANIEL","TRAVAUX DE CHARPENTE"
"JONCOHALSA","ENS MAIS BERTERREIX","QUARTIER ASCOUNAGUER","64130","CHARRITTE DE BAS","0559288648","","","4391A","43400657300019","1 เ 2","joncohalsa.christian@yahoo.fr","JONCOHALSA CHRISTIAN","TRAVAUX DE CHARPENTE"
"VERDOUX ELIE","","PLACE VILLAGE","65240","AULON","0562393862","","","4391A","87922174500026","Inconnu","","VERDOUX FRANCK","TRAVAUX DE CHARPENTE"
"AD CONSTRUCTION SARL","","4 RUE EUGENE FLACHAT","66000","PERPIGNAN","0680160232","","","4391A","52977115600013","Inconnu","","SARL A D  CONSTRUCTION AKIF-DIOUBA CONSTRUCTION","TRAVAUX DE CHARPENTE"
"ENTREPRISE LANSEL","","LIEU DIT PIERRISSES","71340","MELAY","0385250547","","","4391A","83073502300012","0","","LANSEL CEDRIC","TRAVAUX DE CHARPENTE"
"DAHBI HABIBA","","984 RUE COMMDT DUBOIS","73200","ALBERTVILLE","0479329079","","","4391A","38244111100038","1 เ 2","","DAHBI ABDEL","TRAVAUX DE CHARPENTE"
"FRANCOISE MICHEL","","LES PETITS BARRIOZ","73720","QUEIGE","0618609284","","","4391A","32749959600044","Inconnu","","FRANCOISE MICHEL","TRAVAUX DE CHARPENTE"
"MANUTENTION POSE INDUSTRIELLE","","14 RUE INDUSTRIE","77550","LIMOGES FOURCHES","0164385249","","","4391A","47929408400039","20 เ 49","","DE OLIVEIRA VIEIRA ROSA","TRAVAUX DE CHARPENTE"
"DURAND PASCAL PASCAL","","LIEU DIT CAMINAL","81170","ITZAC","0563563701","","","4391A","42370152300015","3 เ 5","","DURAND PASCAL","TRAVAUX DE CHARPENTE"
"LLASER YVES","","8 RUE PROSPER MERIMEE","81100","CASTRES","0603352429","","","4391A","50286493700029","Inconnu","","LLASER YVES","TRAVAUX DE CHARPENTE"
"SF CONSTRUCTION","","199 CHEMIN BANQUETS","83790","PIGNANS","0494388450","","","4391A","80393998200010","3 เ 5","","FIGHIERA STEPHEN","TRAVAUX DE CHARPENTE"
"JM BATI","","650 CHEMIN FEING DE SCU","88100","TAINTRUX","0650811674","","","4391A","44271774000025","Inconnu","","MARTIN JEAN","TRAVAUX DE CHARPENTE"
"SAGARD SEBATIEN","","13 GRANDE RUE","88700","HARDANCOURT","0630345913","","","4391A","88029798100016","Inconnu","entreprise.sagard@live.fr","SAGARD SEBASTIEN","TRAVAUX DE CHARPENTE"
"ANDRE PREAU SAS","","7 CHEMIN FERTE ALAIS","91790","BOISSY SOUS ST YON","0164956100","","0164956611","1623Z","44960950200025","6 เ 9","","PREAU WILFRID","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"ARTISAN BERNARD","","1 AVENUE IRIS","93370","MONTFERMEIL","0143320187","","","4391A","32040545900027","0","","FALCK DJIM BERNARD","TRAVAUX DE CHARPENTE"
"FLOUX SARL","","27 BOULEVARD REPUBLIQUE","95640","MARINES","0134664408","","","4391A","48156271800017","10 เ 19","","FLOUX LAURENT","TRAVAUX DE CHARPENTE"
"ARNOUX ALAIN","","1231 ROUTE ALES","30140","ANDUZE","0466616548","","","4391A","42010161000020","Inconnu","","ARNOUX ALAIN","TRAVAUX DE CHARPENTE"
"BERLIOZ CHARPENTE MANUTENTION","","95 VOIE ROMAINE","74370","NAVES PARMELAN","0450606719","","","4391A","43199367400016","3 เ 5","","BOUILLET MURIELLE","TRAVAUX DE CHARPENTE"
"DUTHIL","","ZA BRIQUETERIE","76160","ST JACQUES SUR DARNETAL","0232805425","","","4391A","37985053000021","10 เ 19","","DUTHIL BENJAMIN","TRAVAUX DE CHARPENTE"
"LES MENUISERIES PHILIBERT","","ZA PARDY","01480","FRANS","0474608924","","0474608963","1623Z","34409823100022","20 เ 49","contact@lmmp-philibert.fr","","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"MENUISERIE BERTHIER GACHON MBG","","IMPASSE CIREE LE BOURG","01990","BANEINS","0474553482","","","1623Z","37898720000011","3 เ 5","","BERTHIER CHRISTIAN","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"MENUISERIE DOCHE","","355 ROUTE PONT NEUF","01420","CORBONOD","0689239729","","","1623Z","52317152800020","0","contact@menuiserie-doche.fr","DOCHE LAURENT","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"MONFRAY ANDRE","","75 ROUTE MESSIMY","01480","CHALEINS","0474678306","","","1623Z","30911114400023","Inconnu","","MONFRAY ANDRE","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"BELLOT LUDOVIC","","13 RUE TUILERIE","02820","ST ERME OUTRE ET RAMECOURT","0323226807","","","1623Z","79383550500017","0","","BELLOT LUDOVIC","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"DEMARLY PAUL MENUISERIE","","31 RUE LONGANNE","02140","PLOMION","0633518785","","","1623Z","49502186700017","Inconnu","","DEMARLY PAUL","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
"DG FABRICATION","ZI LES PALTRATS","9 RUE CHARLES LOUIS PHILIPPE","03500","ST POURCAIN SUR SIOULE","0470355374","","","1623Z","50308045900020","0","","GOURDON DIDIER","FABRICATION DE CHARPENTES ET D'AUTRES MENUISERIES"
